AggStep,DurationSeconds
0,38.738791
1,37.215125
2,60.112277
3,37.154697
4,64.159305
5,37.301397
6,64.547884
7,37.275817
8,60.779355
9,37.250116
10,62.297890
11,37.285936
12,63.693235
13,36.990494
14,62.355186
15,37.238784
16,61.300161
17,37.377406
18,64.028795
19,37.394109
20,62.908212
21,37.164663
22,60.130627
23,37.067835
24,64.018215
25,37.308782
26,64.563861
27,37.309854
28,60.723661
29,37.358466
30,62.343354
31,37.104362
32,63.861792
33,37.231970
34,62.498439
35,37.224975
36,60.841807
37,37.093395
38,63.353621
39,37.103407
40,62.419195
41,36.933598
42,59.451551
43,36.906145
44,63.686557
45,37.132932
46,64.090756
47,37.110428
48,60.223445
49,37.131846
50,62.104091
51,37.123724
52,63.787740
53,37.008507
54,62.314734
55,37.157839
56,60.869130
57,37.366992
58,63.351150
59,36.886867
60,62.118290
61,36.773100
62,59.059799
63,37.045792
64,63.727059
65,36.827840
66,63.709691
67,36.660298
68,59.851933
69,36.954583
70,61.622645
71,36.941557
72,63.567684
73,36.902786
74,63.820662
75,38.221747
76,62.512774
77,38.084907
78,65.364798
79,38.147748
80,64.409519
81,38.201278
82,61.497260
83,38.191878
84,65.590500
85,37.934078
86,65.668256
87,37.995675
88,61.842830
89,38.086877
90,63.069447
91,37.831206
92,65.081101
93,37.686499
94,63.323347
95,37.683832
96,61.567249
97,37.537209
98,64.424770
99,37.592344
100,63.331370
101,37.630695
102,60.508227
103,37.540632
104,64.863920
105,37.830713
106,65.353431
107,37.822520
108,61.050435
109,37.065409
110,61.552571
111,37.012966
112,63.474980
113,36.980220
114,62.298285
115,37.066459
116,60.749486
117,36.889864
118,63.378954
119,37.067930
120,62.272446
121,37.149565
122,59.718816
123,37.178344
124,63.808234
125,37.101756
126,64.130430
127,37.028919
128,60.283075
129,37.025866
130,62.076556
131,37.358635
132,64.057328
133,37.413009
134,62.787515
135,37.255782
136,61.312315
137,37.180753
138,63.665707
139,37.209542
140,62.739900
141,37.210157
142,59.942778
143,37.139048
144,63.603884
145,36.915866
146,64.136379
147,37.074417
148,60.482278
149,37.447615
150,62.818676
151,37.467815
152,64.521289
153,37.579637
154,63.087295
155,37.605990
156,61.052847
157,37.302475
158,63.755985
159,37.136099
160,62.749300
161,37.185101
162,59.959533
163,37.206948
164,64.130975
165,37.123836
166,64.338364
167,37.279224
168,60.498322
169,37.332181
170,62.156358
171,37.150686
172,64.053930
173,37.226892
174,62.610831
175,37.178018
176,61.090366
177,37.215587
178,63.841331
179,37.309186
180,62.651430
181,37.265115
182,60.041742
183,37.277519
184,64.219709
185,37.263310
186,64.605848
187,37.409850
188,60.723185
189,37.297575
190,62.384058
191,37.197444
192,63.730439
193,36.915155
194,62.231241
195,37.112342
196,60.745098
197,37.031361
198,63.648510
199,37.231035
200,62.596673
201,37.068657
202,59.964777
203,37.210408
204,63.863440
205,37.069935
206,64.024932
207,36.997573
208,60.158841
209,36.935863
210,61.902962
211,36.964387
212,63.679275
213,37.142090
214,62.530842
215,37.189083
216,60.999178
217,37.177868
218,63.639197
219,37.329421
220,62.746653
221,37.226270
222,59.907533
223,37.211644
224,64.095180
225,37.192660
226,64.453940
227,37.118435
228,60.226611
229,36.904632
230,61.963078
231,37.198333
232,63.858899
233,37.211519
234,62.510167
235,37.131680
236,60.863268
237,37.055256
238,63.511476
239,36.987474
240,62.313941
241,36.881521
242,59.395116
243,36.896395
244,63.832576
245,37.045215
246,64.081596
247,37.102879
248,60.351166
249,37.139303
250,62.006552
251,37.095138
252,63.650375
253,37.004449
254,62.219340
255,37.137288
256,60.896208
257,37.137257
258,63.653026
259,37.118598
260,62.616786
261,37.178456
262,59.924905
263,37.155840
264,63.907447
265,37.101442
266,64.440244
267,37.177023
268,59.991242
269,37.074753
270,61.822019
271,37.104394
272,63.718549
273,37.046883
274,62.352757
275,36.866562
276,60.542179
277,36.891949
278,63.297261
279,37.063398
280,62.565018
281,37.116985
282,59.751015
283,37.071879
284,63.921618
285,37.060958
286,64.098555
287,37.058813
288,60.289722
289,37.093528
290,61.958189
291,37.179256
292,63.733949
293,37.095611
294,62.321921
295,37.077555
296,60.834773
297,37.062348
298,63.575288
299,37.185094
300,62.566665
301,37.049949
302,59.716882
303,37.103681
304,64.138681
305,37.096348
306,64.130013
307,37.050809
308,60.298266
309,37.008051
310,61.956724
311,37.097052
312,63.444900
313,37.173078
314,62.429632
315,37.157179
316,60.966410
317,37.097264
318,63.460867
319,37.039623
320,62.449707
321,37.114211
322,59.901186
323,37.138643
324,65.453630
325,38.002920
326,65.894316
327,38.038692
328,61.834705
329,38.031705
330,63.643613
331,38.110822
332,65.679688
333,38.193980
334,63.605320
335,37.846890
336,62.234082
337,38.007771
338,64.644204
339,37.590926
340,63.516944
341,37.672451
342,60.708401
343,37.751976
344,65.251273
345,37.854082
346,65.503761
347,37.675307
348,61.162999
349,37.717674
350,63.019174
351,37.716385
352,65.031601
353,37.830663
354,63.353430
355,37.616297
356,61.719457
357,37.388255
358,64.137087
359,37.486981
360,62.774957
361,37.130451
362,59.957722
363,37.174291
364,63.988585
365,37.143764
366,64.184047
367,37.208735
368,60.469677
369,37.166650
370,62.092826
371,37.196596
372,63.866325
373,37.140595
374,62.329859
375,37.341254
376,60.844276
377,37.028756
378,63.554778
379,37.018892
380,62.425417
381,37.051451
382,59.718230
383,37.127363
384,63.958983
385,37.117584
386,64.222144
387,37.179315
388,60.442593
389,37.178323
390,62.115304
391,37.119668
392,63.755313
393,37.032820
394,61.922979
395,36.883825
396,60.463351
397,36.956224
398,63.190323
399,36.821814
400,62.120515
401,36.853437
402,59.465020
403,36.879244
404,63.463268
405,36.850734
406,63.839435
407,36.843626
408,60.061017
409,36.991044
410,62.072475
411,37.058746
412,63.699669
413,37.065672
414,62.310246
415,37.135725
416,60.808928
417,37.073138
418,63.546614
419,37.094476
420,62.430576
421,36.781210
422,59.309356
423,36.749126
424,63.427100
425,36.865294
426,63.725368
427,36.978114
428,60.195914
429,37.039083
430,61.995825
431,37.071276
432,63.609576
433,36.980601
434,62.181592
435,36.941989
436,60.784413
437,36.982492
438,63.284899
439,37.091372
440,62.419454
441,37.008395
442,59.703672
443,37.071298
444,63.810294
445,36.938894
446,64.197678
447,37.025147
448,60.329533
449,37.124430
450,61.919945
451,37.005516
452,63.588525
453,37.024312
454,62.224853
455,37.030092
456,60.788275
457,37.015761
458,63.310153
459,36.903932
460,62.156345
461,36.748296
462,59.365597
463,36.905230
464,63.511425
465,36.899632
466,63.971075
467,37.018117
468,60.212613
469,36.867349
470,61.648266
471,36.780834
472,63.470502
473,37.019800
474,62.263169
475,37.093840
476,60.662710
477,36.862982
478,63.404703
479,37.045956
480,62.535284
481,36.981261
482,59.940977
483,37.049973
484,63.831629
485,37.076077
486,64.209886
487,37.062219
488,60.324923
489,37.011209
490,61.921213
491,37.135505
492,63.837407
493,37.051799
494,62.293660
495,37.114093
496,60.939110
497,37.110737
498,63.596088
499,37.154127
500,62.640461
501,37.110388
502,59.913246
503,37.128820
504,63.930306
505,36.966103
506,63.826734
507,37.068536
508,60.304782
509,37.116081
510,61.992584
511,37.084785
512,63.684173
513,36.989630
514,62.231083
515,36.980108
516,60.819522
517,37.191013
518,63.280958
519,37.059802
520,62.327923
521,37.055988
522,59.851616
523,37.083740
524,63.894636
525,37.102082
526,64.140891
527,37.076772
528,60.357184
529,37.049402
530,61.562090
531,36.879867
532,63.380221
533,37.045843
534,62.205883
535,37.021187
536,60.786152
537,37.008457
538,63.386138
539,37.021883
540,62.390191
541,37.055042
542,59.294400
543,36.765757
544,63.560431
545,37.043739
546,63.968308
547,36.981664
548,60.220946
549,38.393624
550,72.547987
551,44.189863
552,75.973359
553,44.159045
554,65.490143
555,39.798810
556,61.244854
557,36.774635
558,63.024030
559,36.741179
560,62.042274
561,36.800487
562,59.204415
563,36.818379
564,63.397813
565,36.757979
566,63.883575
567,37.048605
568,60.221844
569,36.983801
570,61.880838
571,36.967479
572,63.652672
573,37.010980
574,62.234648
575,37.073825
576,60.787580
577,36.806908
578,63.353277
579,36.949910
580,62.397459
581,36.974669
582,59.667145
583,37.032073
584,63.832213
585,36.998481
586,64.133746
587,37.123816
588,60.501635
589,36.884645
590,61.657590
591,37.009415
592,63.759694
593,37.096247
594,62.200620
595,37.025304
596,60.732299
597,37.057909
598,62.909221
599,36.746939
600,62.270707
601,36.763833
602,59.205314
603,36.757058
604,63.278115
605,36.801275
606,63.670683
607,36.784170
608,59.876477
609,37.013348
610,62.099357
611,37.132194
612,63.736992
613,36.995894
614,61.974438
615,36.859234
616,60.405216
617,36.957076
618,63.492880
619,37.009768
620,62.366362
621,36.792250
622,59.643926
623,36.992829
624,63.895000
625,36.942018
626,64.066283
627,37.025290
628,60.311154
629,37.081412
630,62.004351
631,37.040790
632,63.788404
633,37.091786
634,62.235581
635,37.062193
636,60.906830
637,37.079875
638,63.143924
639,36.881394
640,62.386656
641,37.053865
642,59.719491
643,36.880316
644,63.697731
645,36.992872
646,64.044006
647,36.964754
648,60.166648
649,36.926473
650,61.748065
651,37.029058
652,63.610777
653,36.974298
654,62.205873
655,37.005733
656,60.676099
657,37.031741
658,63.378064
659,37.165984
660,62.190225
661,37.035539
662,59.286381
663,36.899264
664,63.705686
665,36.992080
666,64.016845
667,37.057464
668,60.242456
669,37.026909
670,61.839092
671,37.001255
672,63.608325
673,37.006186
674,62.079633
675,36.931900
676,60.800460
677,36.972142
678,63.406013
679,36.865434
680,62.194132
681,37.060328
682,59.615741
683,36.949846
684,63.809757
685,37.048591
686,63.869981
687,36.866143
688,60.144325
689,37.002709
690,61.814229
691,36.953923
692,63.644104
693,37.113568
694,62.273879
695,37.068877
696,60.671904
697,36.953839
698,63.352856
699,36.976704
700,62.277270
701,36.930418
702,59.491374
703,37.005026
704,63.657501
705,37.060547
706,63.951653
707,36.934790
708,60.126399
709,36.988471
710,61.745634
711,36.760180
712,63.237100
713,36.714317
714,62.108986
715,36.813793
716,60.731548
717,37.025564
718,63.432610
719,36.982552
720,62.366238
721,37.021487
722,59.596073
723,36.858642
724,63.675388
725,36.987691
726,63.988333
727,36.954216
728,60.186244
729,37.047994
730,61.862821
731,36.983322
732,63.321337
733,36.802727
734,61.989401
735,37.000760
736,60.654526
737,36.979402
738,63.478090
739,37.026211
740,62.628192
741,37.092333
742,59.678982
743,37.048083
744,63.879385
745,37.119906
746,64.094194
747,37.003920
748,60.134957
749,37.013982
750,61.728597
751,36.814138
752,63.225970
753,36.745996
754,61.798897
755,36.833795
756,60.744002
757,37.014613
758,63.364100
759,36.791772
760,62.141235
761,37.058299
762,59.650507
763,36.986277
764,63.616088
765,36.918866
766,63.856432
767,36.984964
768,60.311131
769,37.088426
770,61.822654
771,36.922265
772,63.590245
773,37.010278
774,62.204652
775,37.029531
776,60.872076
777,36.982413
778,63.325009
779,36.936933
780,61.944007
781,36.794657
782,59.332956
783,36.832161
784,63.570154
785,37.016319
786,63.956596
787,37.048000
788,60.268308
789,37.048932
790,61.961538
791,37.149079
792,63.613398
793,37.012520
794,62.173236
795,36.859498
796,60.738706
797,37.011782
798,63.353778
799,36.941700
800,62.355353
801,36.934772
802,59.442116
803,36.792571
804,63.414029
805,36.800378
806,63.886026
807,36.962108
808,60.164292
809,36.962397
810,61.795733
811,37.147257
812,63.595666
813,37.055855
814,62.112149
815,36.962461
816,60.793467
817,36.945790
818,63.115242
819,36.762315
820,61.975830
821,36.823634
822,59.693967
823,36.955542
824,63.690908
825,36.939209
826,63.899666
827,37.009903
828,60.283062
829,37.010642
830,61.912397
831,36.910203
832,63.701937
833,37.017358
834,62.236175
835,36.890380
836,60.905935
837,37.087498
838,63.420376
839,37.051898
840,62.478609
841,37.013445
842,59.770343
843,37.030020
844,63.551071
845,37.067852
846,64.493931
847,37.182846
848,60.417351
849,37.137807
850,62.046606
851,37.064411
852,63.686516
853,37.018533
854,62.264957
855,37.004491
856,60.322304
857,36.773894
858,63.168746
859,36.962541
860,62.510065
861,37.115635
862,59.855652
863,37.136121
864,63.893581
865,37.091453
866,63.969275
867,36.999394
868,59.866347
869,36.854503
870,61.766261
871,37.126439
872,63.796601
873,37.082880
874,62.473669
875,37.168784
876,60.962990
877,37.014821
878,63.310556
879,36.974596
880,62.256322
881,36.871833
882,59.608929
883,36.926126
884,63.812214
885,37.060745
886,64.130355
887,37.204959
888,60.227479
889,37.101887
890,62.074334
891,37.128044
892,63.500746
893,37.133583
894,62.323091
895,37.147259
896,60.870868
897,37.126800
898,63.578171
899,37.043159
900,62.556320
901,37.133758
902,59.937435
903,37.201416
904,63.926284
905,37.303768
906,64.593776
907,37.214413
908,60.309116
909,37.194345
910,62.030586
911,37.077656
912,63.755054
913,37.157155
914,62.388093
915,37.174557
916,61.003167
917,37.048161
918,63.264808
919,37.061532
920,62.634233
921,37.128089
922,59.862282
923,37.075543
924,63.890717
925,37.106132
926,64.149227
927,36.912736
928,60.029895
929,36.867763
930,61.529277
931,36.882851
932,63.741391
933,37.046060
934,62.274819
935,37.096049
936,61.013406
937,37.161839
938,63.666622
939,37.168600
940,62.426360
941,37.079881
942,59.787331
943,37.041656
944,63.781931
945,37.114365
946,64.225257
947,37.046053
948,60.261920
949,37.040569
950,61.881308
951,37.141553
952,63.772740
953,37.136123
954,62.359775
955,37.122940
956,60.745555
957,37.259512
958,63.896359
959,37.166636
960,62.621888
961,37.214199
962,59.871902
963,37.158297
964,63.927180
965,37.053503
966,64.184751
967,37.226417
968,60.434348
969,37.147858
970,62.089185
971,37.060733
972,63.680818
973,36.938674
974,62.137219
975,37.024841
976,60.596155
977,36.834815
978,63.062985
979,36.970686
980,62.574615
981,37.255079
982,59.857016
983,37.113718
984,63.860011
985,37.067122
986,64.117104
987,37.339847
988,60.223238
989,37.047132
990,62.006617
991,37.101473
992,63.669195
993,36.955040
994,62.191136
995,37.012705
996,60.874644
997,37.146634
998,63.557080
999,37.090634
